content,score,at,bank,month_year,content_process,sentiment
"Kacau emang, lagi terdesak, uang di sini semua, kok bisa koneksi terputus terus, buka apk lain aja lancar, emang apk rusak",3,2024-04-25 19:36:53,BNI,2024-04,"Kacau emang, lagi terdesak, uang di sini semua, kok bisa koneksi terputus terus, buka apk lain aja lancar, emang apk rusak",negative
"Gua tf saldo kepotong,duit malah belom masuk dh 2 x begini mulu",1,2024-04-25 08:30:29,BNI,2024-04,"Gua tf saldo kepotong,duit malah belom masuk dh 2 x begini mulu",negative
Setiap jam 2 selalu eror,1,2024-04-24 19:12:34,BNI,2024-04,Setiap jam 2 selalu eror,negative
Menjengkelkan,3,2024-04-24 15:40:10,BNI,2024-04,Menjengkelkan,negative
Kurang sat set sat set,4,2024-04-24 04:59:05,BNI,2024-04,Kurang sat set sat set,negative
"Digital CC sudah aktif namun tidak bisa digunakan karena ga bisa lihat kode cvv, setelah input passwor ad pop up transaksi tidak dapat dilakukan silahkan huhuni bni call center. 
Ketika dihubungi hanya diminya dicoba berkala entah sampai kapan dek kk menunggu",2,2024-04-24 04:14:14,BNI,2024-04,"Digital CC sudah aktif namun tidak bisa digunakan karena ga bisa lihat kode cvv, setelah input passwor ad pop up transaksi tidak dapat dilakukan silahkan huhuni bni call center. Ketika dihubungi hanya diminya dicoba berkala entah sampai kapan dek kk menunggu",negative
Setelah di update kok gak bisa login?,2,2024-04-23 04:37:24,BNI,2024-04,Setelah di update kok gak bisa login?,negative
Kenapa erorrrrrrr mulu setiap malam goblokkkkkkkkj,3,2024-04-22 19:11:17,BNI,2024-04,Kenapa erorrrrrrr mulu setiap malam goblokkkkkkkkj,negative
"mau regis error mulu padahal udh bener semua hadeh udah 3 kali katanya salah input matamu cok aplikasi jelek, aneh.",1,2024-04-21 04:14:43,BNI,2024-04,"mau regis error mulu padahal udh bener semua hadeh udah 3 kali katanya salah input matamu cok aplikasi jelek, aneh.",negative
"tidak bisa login, padahal user id, pin ATM, 8 digit terakhir kartu, dan nomor rekening sudah benar, tetap saja tidak bisa",1,2024-04-20 11:43:30,BNI,2024-04,"tidak bisa login, padahal user id, pin ATM, 8 digit terakhir kartu, dan nomor rekening sudah benar, tetap saja tidak bisa",negative
"udah login sama simpen data login, sewaktu keluar malah disuruh login ulang lagi.",4,2024-04-20 07:14:25,BNI,2024-04,"udah login sama simpen data login, sewaktu keluar malah disuruh login ulang lagi.",negative
tolong pihak pengelolah di perbagus lagi server nya mbanking paling lag beda dri mbanking bank lain,1,2024-04-19 19:21:51,BNI,2024-04,tolong pihak pengelolah di perbagus lagi server nya mbanking paling lag beda dri mbanking bank lain,negative
QRIS tidak berfungsi di perangkat iPhone Xr,3,2024-04-18 18:37:28,BNI,2024-04,QRIS tidak berfungsi di perangkat iPhone Xr,negative
"udah complain via whatsapp nd email, but nothing. kasusnya malah diclose, uang aku ga balik :( sedih banget bni knp begini ya?",1,2024-04-18 14:57:50,BNI,2024-04,"udah complain via whatsapp nd email, but nothing. kasusnya malah diclose, uang aku ga balik :( sedih banget bni knp begini ya?",negative
Ini percuma di kasih fitur chat tp cm layar kosongan aja,1,2024-04-16 13:18:42,BNI,2024-04,Ini percuma di kasih fitur chat tp cm layar kosongan aja,negative
untuk qris setelah update jdi ga bisa,1,2024-04-15 19:01:51,BNI,2024-04,untuk qris setelah update jdi ga bisa,negative
kenapa gabisa masuk ke mbanking yah? lagi error kahh,1,2024-04-15 06:37:25,BNI,2024-04,kenapa gabisa masuk ke mbanking yah? lagi error kahh,negative
BNI nya suka pembaharuan tiba tiba jadi m bangking nya susah dibuka,3,2024-04-15 05:35:33,BNI,2024-04,BNI nya suka pembaharuan tiba tiba jadi m bangking nya susah dibuka,negative
Sering error kalo malem,1,2024-04-14 19:13:18,BNI,2024-04,Sering error kalo malem,negative
So far aplikasinya berjalan lancar dan bagus,5,2024-04-14 03:27:50,BNI,2024-04,So far aplikasinya berjalan lancar dan bagus,positive
bni kenapa ga bisa qr lewat poto terus ga bisa bikin barcode juga selalu ngeleg di atas jam 12 juga please kerja samanya,4,2024-04-10 13:06:16,BNI,2024-04,bni kenapa ga bisa qr lewat poto terus ga bisa bikin barcode juga selalu ngeleg di atas jam 12 juga please kerja samanya,negative
"Apk Mobile Banking paling hancur, klik 1 Icon Bufering , klik lagi Bufering lagi Kocak lah memang",1,2024-04-09 19:21:43,BNI,2024-04,"Apk Mobile Banking paling hancur, klik 1 Icon Bufering , klik lagi Bufering lagi Kocak lah memang",negative
Error,1,2024-04-09 18:11:13,BNI,2024-04,Error,negative
"Password transaksi error mulu padahal bener loh tolong perbaiki, bukannya makin mudah malah makin sulit",2,2024-04-09 12:54:10,BNI,2024-04,"Password transaksi error mulu padahal bener loh tolong perbaiki, bukannya makin mudah malah makin sulit",negative
Aplikasi sering trouble disaat urgent sungguh mengecewakan,3,2024-04-09 01:00:22,BNI,2024-04,Aplikasi sering trouble disaat urgent sungguh mengecewakan,negative
"Waktu pembayaran 10 menit, dari 10menit sampai HABIS waktu pembayaran cuma habis terpakai waktu buat loading itu APLIKASI SAMPAH. Jaringan internet aman dan lancar tapi APLIKASI SAMPAH ini yang buat semua hancur berantakan. APLIKASI SAMPAH.
Tolong untuk developer lebih FLEKSIBEL kan lagi ini APLIKASI SAMPAH agar jangan terlalu KAKU dengan Waktu dan Internet hingga segala tranksasi yang bersifat “KEJAR WAKTU” itu bisa diselesaikan KAPANPUN itu.",1,2024-04-08 19:39:01,BNI,2024-04,"Waktu pembayaran 10 menit, dari 10menit sampai HABIS waktu pembayaran cuma habis terpakai waktu buat loading itu APLIKASI SAMPAH. Jaringan internet aman dan lancar tapi APLIKASI SAMPAH ini yang buat semua hancur berantakan. APLIKASI SAMPAH. Tolong untuk developer lebih FLEKSIBEL kan lagi ini APLIKASI SAMPAH agar jangan terlalu KAKU dengan Waktu dan Internet hingga segala tranksasi yang bersifat KEJAR WAKTU itu bisa diselesaikan KAPANPUN itu.",negative
"KEBANYAKAN LOADING, KURANG SATSET !",1,2024-04-08 18:41:49,BNI,2024-04,"KEBANYAKAN LOADING, KURANG SATSET !",negative
"Buat qr gak bisa untuk gambar scren shot, payah",3,2024-04-08 15:06:52,BNI,2024-04,"Buat qr gak bisa untuk gambar scren shot, payah",negative
"Transaksi seringkali gagal tapi dapat email kalau transaksi berhasil. Kan aneh.

Selain itu seringkali muncul pesan “koneksi terputus, silahkan periksa jaringan anda” padahal jaringan saya lancar & sama sekali gak buffering tiap kali streaming. Padahal saya mau pakai di saat suasana urgent.

Mending bayar cash aja daripada harus pakai aplikasi ini. Lebih sering useless.",2,2024-04-07 19:19:11,BNI,2024-04,"Transaksi seringkali gagal tapi dapat email kalau transaksi berhasil. Kan aneh. Selain itu seringkali muncul pesan koneksi terputus, silahkan periksa jaringan anda padahal jaringan saya lancar & sama sekali gak buffering tiap kali streaming. Padahal saya mau pakai di saat suasana urgent. Mending bayar cash aja daripada harus pakai aplikasi ini. Lebih sering useless.",negative
"Aplikasi Update malah gabisa Login Mobile Banking, keterangannya “user anda sudah digunakan perangkat lain” padahal gak ganti HP, mana harus ke cabang terdekat udah libur lebaran, gabisa gitu fixingnya via bni call",2,2024-04-07 06:31:17,BNI,2024-04,"Aplikasi Update malah gabisa Login Mobile Banking, keterangannya user anda sudah digunakan perangkat lain padahal gak ganti HP, mana harus ke cabang terdekat udah libur lebaran, gabisa gitu fixingnya via bni call",negative
"Tolong di benerin dev ,buat pengiriman verivikasi kode otp peru nya lewat wa dan gmail ,tapi yang kekirim cuma lewat wanya aja otp gmailnya ga masuk masuk ,mohon segera diperbaiki",3,2024-04-07 06:05:56,BNI,2024-04,"Tolong di benerin dev ,buat pengiriman verivikasi kode otp peru nya lewat wa dan gmail ,tapi yang kekirim cuma lewat wanya aja otp gmailnya ga masuk masuk ,mohon segera diperbaiki",negative
"Aplikasi ok, cuma kalah sama bank warna background merah yang ada gurita",5,2024-04-06 13:59:44,BNI,2024-04,"Aplikasi ok, cuma kalah sama bank warna background merah yang ada gurita",negative
Gw daftar dri kemaren ga jdi” masuk email suruh masuk kode otp tpi di aplikasinya muter di pendaftaran trs ga berubah” lol gaje banget,1,2024-04-06 09:37:36,BNI,2024-04,Gw daftar dri kemaren ga jdi masuk email suruh masuk kode otp tpi di aplikasinya muter di pendaftaran trs ga berubah lol gaje banget,negative
"Kemaren gw tf BI Fast dr BNI ke BJB via mobile banking, pas teken transfer terakhir keluar pop up transfer gagal dan oke gajadi , better via dana- tapi begitu di cek riwayat transaksi ke debet dong. Komplen Ke BNI parah + payah pelayanannya sekarang. Bingung akun fast responnya di Twitter sekarang yang mana",4,2024-04-06 06:40:50,BNI,2024-04,"Kemaren gw tf BI Fast dr BNI ke BJB via mobile banking, pas teken transfer terakhir keluar pop up transfer gagal dan oke gajadi , better via dana- tapi begitu di cek riwayat transaksi ke debet dong. Komplen Ke BNI parah + payah pelayanannya sekarang. Bingung akun fast responnya di Twitter sekarang yang mana",negative
"Kalan bisa nyamain sebelah ya ada notifikasi dana masuk, masa 2024 msh pake notif sms yg bener aje rugi dong",3,2024-04-05 23:54:10,BNI,2024-04,"Kalan bisa nyamain sebelah ya ada notifikasi dana masuk, masa 2024 msh pake notif sms yg bener aje rugi dong",negative
"Qris nya gabisa scan gambar dari galeri, cuma bisa dari kamera. Perbaiki dong, udah dari sebulan yg lalu",1,2024-04-05 06:43:24,BNI,2024-04,"Qris nya gabisa scan gambar dari galeri, cuma bisa dari kamera. Perbaiki dong, udah dari sebulan yg lalu",negative
"Layanannya lama, Antrian CS 11 aja bisa 2 jam lebih. Disuruh antri di tempat g nyaman. G ada colokan. Terjadi penurunan layanan",1,2024-04-05 02:00:56,BNI,2024-04,"Layanannya lama, Antrian CS 11 aja bisa 2 jam lebih. Disuruh antri di tempat g nyaman. G ada colokan. Terjadi penurunan layanan",negative
"kode OTP gak pernah masuk sama sekali, sehari hanya dibatasi 3X dan pilihan hanya via SMS, sudah 7 hari dicoba syarat dan kententuan sudah dipenuhi semua, perasaan hampir tiap hari ada perawatan sistem tapi gak ada pengaruhnya.",1,2024-04-04 22:21:17,BNI,2024-04,"kode OTP gak pernah masuk sama sekali, sehari hanya dibatasi 3X dan pilihan hanya via SMS, sudah 7 hari dicoba syarat dan kententuan sudah dipenuhi semua, perasaan hampir tiap hari ada perawatan sistem tapi gak ada pengaruhnya.",negative
Sering gabisa dipake pas dibutuhin. MIANTANCE mulu. BAD!!!!,1,2024-04-04 19:21:10,BNI,2024-04,Sering gabisa dipake pas dibutuhin. MIANTANCE mulu. BAD!!!!,negative
Kenapa jadi susah buat scan QR sihh 😭😭😭,3,2024-04-04 05:15:39,BNI,2024-04,Kenapa jadi susah buat scan QR sihh ,negative
"Tolong diperbaiki pop up biometric & simpan user id yang selalu BERULANG padahal sudah diklik jangan tampilkan lagi, sangat mengganggu aktifitas !!!",1,2024-04-04 02:45:13,BNI,2024-04,"Tolong diperbaiki pop up biometric & simpan user id yang selalu BERULANG padahal sudah diklik jangan tampilkan lagi, sangat mengganggu aktifitas !!!",negative
"Kenapa opsi input otp tidak muncul, jd tidak bisa memasukan no otpnya",2,2024-04-03 21:16:30,BNI,2024-04,"Kenapa opsi input otp tidak muncul, jd tidak bisa memasukan no otpnya",negative
Asli dah rempong. Harus ganti hp untuk 1 akun bank. Ya kali 1 HP cuman bisa 1 akun saja,5,2024-04-03 18:19:57,BNI,2024-04,Asli dah rempong. Harus ganti hp untuk 1 akun bank. Ya kali 1 HP cuman bisa 1 akun saja,negative
Force close ip 6,2,2024-04-03 12:10:38,BNI,2024-04,Force close ip 6,negative
Suka gangguan ga jelas. Coba dong BNI di perbaiki Mbangking nya jangan aneh dong. Bank BUMN masa mbangking nya ga jelas kaya gini,2,2024-04-02 19:57:21,BNI,2024-04,Suka gangguan ga jelas. Coba dong BNI di perbaiki Mbangking nya jangan aneh dong. Bank BUMN masa mbangking nya ga jelas kaya gini,negative
Update terbaru di Ios tidak bisa scan Barcode melaluo gambar,1,2024-04-02 16:55:40,BNI,2024-04,Update terbaru di Ios tidak bisa scan Barcode melaluo gambar,negative
Nice,5,2024-04-02 13:16:08,BNI,2024-04,Nice,positive
Masa aku login mbanking kode topnya dahmasyk d email tpi layar gk mau jalan d bni ya gk ad kolom buat isis kodenya terus pas kembali malah ngulang lagi,1,2024-04-02 12:07:04,BNI,2024-04,Masa aku login mbanking kode topnya dahmasyk d email tpi layar gk mau jalan d bni ya gk ad kolom buat isis kodenya terus pas kembali malah ngulang lagi,negative
"Penipu yang mengatas namakan pegawai BNI sampai mengetahui kartu kredit, alamat kerja, nama saya, nomor HP saya, hingga pengambilan KPR / cicilan rumah saya. 
Saya sebagai nasabah tetap disuruh untuk membayar kerugian yang diakibatkan oleh keteledoran pihak BNI yang kurang baik dalam menjaga data nasabah. 
Mohon dibaca sebagai perbaikan. Terima kasih",1,2024-04-02 11:54:45,BNI,2024-04,"Penipu yang mengatas namakan pegawai BNI sampai mengetahui kartu kredit, alamat kerja, nama saya, nomor HP saya, hingga pengambilan KPR / cicilan rumah saya. Saya sebagai nasabah tetap disuruh untuk membayar kerugian yang diakibatkan oleh keteledoran pihak BNI yang kurang baik dalam menjaga data nasabah. Mohon dibaca sebagai perbaikan. Terima kasih",negative
kenapa ya saya gabisa top up ke e-wallet saya,2,2024-04-02 10:42:23,BNI,2024-04,kenapa ya saya gabisa top up ke e-wallet saya,negative
Kenala tiba-tiba gak bisa log in setelah di isi saldo ?? Kenapa tiba2 disuruh lakukan aktivasi lagi ??,1,2024-04-01 22:05:26,BNI,2024-04,Kenala tiba-tiba gak bisa log in setelah di isi saldo ?? Kenapa tiba2 disuruh lakukan aktivasi lagi ??,negative
Aplikasi tai pukimak Peju,1,2024-04-01 09:49:38,BNI,2024-04,Aplikasi tai pukimak Peju,positive
"Buruk banget, call center selalu ga tersedia
Habis dulu pulsa minimal 20rb itu juga syukur2 ada yg tersedia

Tolong di perbaiki sistemnya, gada cepat dn sigap sama sekali 
Thankyou",1,2024-04-01 05:59:04,BNI,2024-04,"Buruk banget, call center selalu ga tersedia Habis dulu pulsa minimal 20rb itu juga syukur2 ada yg tersedia Tolong di perbaiki sistemnya, gada cepat dn sigap sama sekali Thankyou",negative
Tiap mau tf pasti aja mbanking error. Pdahal sinyal gk ada msalah. Id juga d simpan mlah kgak ksimpan mulu,3,2024-03-31 22:09:47,BNI,2024-03,Tiap mau tf pasti aja mbanking error. Pdahal sinyal gk ada msalah. Id juga d simpan mlah kgak ksimpan mulu,negative
"Kinerja aplikasi error terus, segera diperbaiki sebelum customers kecewa dan pindah lain bank",2,2024-03-31 18:51:26,BNI,2024-03,"Kinerja aplikasi error terus, segera diperbaiki sebelum customers kecewa dan pindah lain bank",negative
"aplikasi kntl, setiap lewat jam 12 mlm selalu eror anjing, gak lagi lagi pake bni mandiri atau bca aja",1,2024-03-31 17:49:13,BNI,2024-03,"aplikasi kntl, setiap lewat jam 12 mlm selalu eror anjing, gak lagi lagi pake bni mandiri atau bca aja",negative
"user interface masih buruk, buffering lama. terkadang error sendiri ketika transaksi, kalau dibandingin sama mbanking bca, kalah jauhh.

tolong diperhatiin lagi, kebanyakan fitur biking user bingung - males. minimalis & smooth lebih bagus.",2,2024-03-31 17:25:31,BNI,2024-03,"user interface masih buruk, buffering lama. terkadang error sendiri ketika transaksi, kalau dibandingin sama mbanking bca, kalah jauhh. tolong diperhatiin lagi, kebanyakan fitur biking user bingung - males. minimalis & smooth lebih bagus.",negative
"Aplikasi suka keluar sendiri waktu pengiriman otp, padahal tidak di back ataupun di keluarkan aplikasinya",1,2024-03-31 04:40:17,BNI,2024-03,"Aplikasi suka keluar sendiri waktu pengiriman otp, padahal tidak di back ataupun di keluarkan aplikasinya",negative
Kenapa ya kalo di hp saya iphone 8plus selalu tidak bisa registrasi? Pasti aja stuck di data pribadi dan gabisa lanjut tahapan setelahnya. Udh beberapa kali nyoba dari awal gaprnah sukses.. mohon bantuannya🙏🏻,3,2024-03-30 22:30:46,BNI,2024-03,Kenapa ya kalo di hp saya iphone 8plus selalu tidak bisa registrasi? Pasti aja stuck di data pribadi dan gabisa lanjut tahapan setelahnya. Udh beberapa kali nyoba dari awal gaprnah sukses.. mohon bantuannya,negative
SAYA SETOR TUNAI SALDO GAK MASUK UANG KETELEN CS NYA SLOWRESPO SEMUA,1,2024-03-30 06:15:23,BNI,2024-03,SAYA SETOR TUNAI SALDO GAK MASUK UANG KETELEN CS NYA SLOWRESPO SEMUA,negative
"Hello, 
Could you please speed up the maintenance process. Really, it is very hard facing my day without mobile banking.",2,2024-03-29 16:36:23,BNI,2024-03,"Hello, Could you please speed up the maintenance process. Really, it is very hard facing my day without mobile banking.",negative
"Gimana si BNI? Udah 2th loh aku nunggu kritikanky di baca sama org bni. Cmn belum ada kemajuan nih aplikasi. Leet bet server nya. Ga kek mbanking tetangga. Ayolah BNI. Lu salah satu bank tergede n ternama di indo, masa ngurus aplikasi aja kalian syulit? Di korupsi apa tu dana aplikasi?",1,2024-03-28 15:23:39,BNI,2024-03,"Gimana si BNI? Udah 2th loh aku nunggu kritikanky di baca sama org bni. Cmn belum ada kemajuan nih aplikasi. Leet bet server nya. Ga kek mbanking tetangga. Ayolah BNI. Lu salah satu bank tergede n ternama di indo, masa ngurus aplikasi aja kalian syulit? Di korupsi apa tu dana aplikasi?",negative
udah berapa kali percobaan ngga bisa terus,1,2024-03-28 10:43:10,BNI,2024-03,udah berapa kali percobaan ngga bisa terus,negative
"Amat sangat kecewa banget sama update paling terakhir. Dari yang dulunya login tinggal pake biometrik, sekarang harus repot ketik-ketik karna user id dan passwordnya tidak bisa disimpan. Kok seneng banget downgrade kualitas sih BNI? Selain itu, setiap mau bayar virtual accout sering banget bermasalah, kalo VA kan selalu muncul sendiri nominal tagihannya, lah kok ini malah dibilang “masukkan jumlah nominal yang benar” kan aneh. Kadang setelah bisa login jg aplikasi langsung logout otomatis, sunggu diluar nurul. 👎🏼👎🏼👎🏼👎🏼👎🏼",1,2024-03-28 09:04:39,BNI,2024-03,"Amat sangat kecewa banget sama update paling terakhir. Dari yang dulunya login tinggal pake biometrik, sekarang harus repot ketik-ketik karna user id dan passwordnya tidak bisa disimpan. Kok seneng banget downgrade kualitas sih BNI? Selain itu, setiap mau bayar virtual accout sering banget bermasalah, kalo VA kan selalu muncul sendiri nominal tagihannya, lah kok ini malah dibilang masukkan jumlah nominal yang benar kan aneh. Kadang setelah bisa login jg aplikasi langsung logout otomatis, sunggu diluar nurul. ",negative
"Asli ini aplikasi bank gede parah bgttt jeleknya..... dikit2 trouble, mending pk bank lain",1,2024-03-28 04:32:10,BNI,2024-03,"Asli ini aplikasi bank gede parah bgttt jeleknya..... dikit2 trouble, mending pk bank lain",negative
"Tarik tunai ga keluar uangnya saldo berkurang, sudah call bni banking dan sudah ngajuin proses pengajuan da dapet surat dan suruh tunggu 10hk, eh ga ada uang yg kembali ke rek.
Ga amanah banget",1,2024-03-28 03:32:02,BNI,2024-03,"Tarik tunai ga keluar uangnya saldo berkurang, sudah call bni banking dan sudah ngajuin proses pengajuan da dapet surat dan suruh tunggu 10hk, eh ga ada uang yg kembali ke rek. Ga amanah banget",negative
Sampai kapan di maintenance mbankingnya?,2,2024-03-27 23:33:57,BNI,2024-03,Sampai kapan di maintenance mbankingnya?,negative
sangat buruk untuk nasabah luar negri,1,2024-03-27 08:13:02,BNI,2024-03,sangat buruk untuk nasabah luar negri,negative
peningkatan layanan mulu mau bayar gimana,1,2024-03-26 19:17:42,BNI,2024-03,peningkatan layanan mulu mau bayar gimana,negative
tolong diperbaiki,1,2024-03-26 16:47:55,BNI,2024-03,tolong diperbaiki,negative
trouble aja terus,1,2024-03-26 15:21:20,BNI,2024-03,trouble aja terus,negative
"Minta tolong banget dengan segala hormat ke BNI, aplikasi lebih dibagusin lagi capek bgt pake BNI kalau bukan karena gaji melalui BNI sudah lama saya tutup akun",1,2024-03-26 14:27:12,BNI,2024-03,"Minta tolong banget dengan segala hormat ke BNI, aplikasi lebih dibagusin lagi capek bgt pake BNI kalau bukan karena gaji melalui BNI sudah lama saya tutup akun",negative
"Registrasi mobile bangking sudah terima OTP di email namun tidak ada field untuk masukan OTP , di klik lanjut malah ngirim OTP baru di email . Coba aktivasi ke bank tidak dapat dibantu oleh teller alasannya mesin scan KTP nya rusak
Kalau bukan karna payroll tempat kerja ogah deh buat rekening disini",1,2024-03-26 05:22:12,BNI,2024-03,"Registrasi mobile bangking sudah terima OTP di email namun tidak ada field untuk masukan OTP , di klik lanjut malah ngirim OTP baru di email . Coba aktivasi ke bank tidak dapat dibantu oleh teller alasannya mesin scan KTP nya rusak Kalau bukan karna payroll tempat kerja ogah deh buat rekening disini",negative
UI display nya ga memudahkan. selalu disuruh masukin uname dan pass terus padahal udah remember,2,2024-03-26 04:35:34,BNI,2024-03,UI display nya ga memudahkan. selalu disuruh masukin uname dan pass terus padahal udah remember,negative
"Kode otp udh sesuai masa tetep g bs dimasukkan, gmn sih, udh dkah 6 angka masih aja disuruh masukkn minimal 6 angka",1,2024-03-26 02:28:42,BNI,2024-03,"Kode otp udh sesuai masa tetep g bs dimasukkan, gmn sih, udh dkah 6 angka masih aja disuruh masukkn minimal 6 angka",negative
"kak ini gimana ya baru pertama kali mau bikin mbanking tapi setelah mengiri user id ada verifikasi otp dan nomornya bukan nomor saya, jadi ini gimana saya mau pakai mbanking nya",4,2024-03-25 04:12:11,BNI,2024-03,"kak ini gimana ya baru pertama kali mau bikin mbanking tapi setelah mengiri user id ada verifikasi otp dan nomornya bukan nomor saya, jadi ini gimana saya mau pakai mbanking nya",negative
"pilihan qris tidak bisa di buka, apakah memang tidak bisa pakai qris?",3,2024-03-24 23:05:43,BNI,2024-03,"pilihan qris tidak bisa di buka, apakah memang tidak bisa pakai qris?",negative
"Mengapa setiap login harus mengisi username dan mpin, dan login dengan biometrik selalu harus mengulang terus.",4,2024-03-24 11:16:39,BNI,2024-03,"Mengapa setiap login harus mengisi username dan mpin, dan login dengan biometrik selalu harus mengulang terus.",negative
"katanya bisa digunakan 24 jam 7 hari dalam seminggu, nyatanya tengah malam sampai subuh gabisa transfer sesama bni, itukah yg namanya bisa digunakan 24/7???",2,2024-03-23 22:10:09,BNI,2024-03,"katanya bisa digunakan 24 jam 7 hari dalam seminggu, nyatanya tengah malam sampai subuh gabisa transfer sesama bni, itukah yg namanya bisa digunakan 24/7???",negative
Tiap mau tf pasti transaksi selalu gagal  di coba berapa kalipun terap gagal,3,2024-03-23 21:45:51,BNI,2024-03,Tiap mau tf pasti transaksi selalu gagal di coba berapa kalipun terap gagal,negative
"Ni app demen bgt eror mulu, perbaikilah jngn terlalu bnyk fitur ga guna , iklan” yg berat itu. ni eror masalah 2755 kaga bisa transfer, bosen jawaban adminnya itu itu aja ga solutif",1,2024-03-23 20:09:59,BNI,2024-03,"Ni app demen bgt eror mulu, perbaikilah jngn terlalu bnyk fitur ga guna , iklan yg berat itu. ni eror masalah 2755 kaga bisa transfer, bosen jawaban adminnya itu itu aja ga solutif",negative
sering error mau tf2 jdi ribet,3,2024-03-23 19:12:21,BNI,2024-03,sering error mau tf2 jdi ribet,negative
Parah lah tambah parahhhh ni m banking BNI,1,2024-03-23 19:12:10,BNI,2024-03,Parah lah tambah parahhhh ni m banking BNI,negative
"Setelah update kenapa mau transaksi pk qris mlh ga bisa
Keterangannya melebihi limit bulanan
Tp klo tf, ambil uang tunai n transaksi pk kartu debet bisa",1,2024-03-23 04:13:56,BNI,2024-03,"Setelah update kenapa mau transaksi pk qris mlh ga bisa Keterangannya melebihi limit bulanan Tp klo tf, ambil uang tunai n transaksi pk kartu debet bisa",negative
"Bank kocak, kalo mau transaksi udah kayak game 4k signalnya harus bagus bgt",1,2024-03-22 19:43:54,BNI,2024-03,"Bank kocak, kalo mau transaksi udah kayak game 4k signalnya harus bagus bgt",negative
Liat bugg nya woyyyyyy,1,2024-03-22 19:23:18,BNI,2024-03,Liat bugg nya woyyyyyy,positive
"Tombol back tidak berfungsi saat disentuh, tolong cepat diperbaiki. iOS 17.4 device iphone 15.",2,2024-03-22 11:01:14,BNI,2024-03,"Tombol back tidak berfungsi saat disentuh, tolong cepat diperbaiki. iOS 17.4 device iphone 15.",negative
"Halo kal, kenapa akun m banking ku ga bisa di buka ya? katanya koneksi terputus terus, udah seharian ga bisa login",3,2024-03-21 09:48:01,BNI,2024-03,"Halo kal, kenapa akun m banking ku ga bisa di buka ya? katanya koneksi terputus terus, udah seharian ga bisa login",negative
"chat respon live agent pada aplikasi amat sangat lama..
dan ini sudah ketiga kalinya saya chat melalui aplikasi..  sebetulnya live chat ada atau tidak ada..?
kalau belum siap sebaiknya menu tersebut tidak perlu ada..",2,2024-03-21 08:58:34,BNI,2024-03,chat respon live agent pada aplikasi amat sangat lama.. dan ini sudah ketiga kalinya saya chat melalui aplikasi.. sebetulnya live chat ada atau tidak ada..? kalau belum siap sebaiknya menu tersebut tidak perlu ada..,negative
"Asli update terbarunya keren banget, easy to Use, sangat memudahkan bertransaksi di BNI kereeen",5,2024-03-21 00:47:47,BNI,2024-03,"Asli update terbarunya keren banget, easy to Use, sangat memudahkan bertransaksi di BNI kereeen",positive
mbankingg paling ruwettt,2,2024-03-20 19:19:10,BNI,2024-03,mbankingg paling ruwettt,negative
Aku kasih 1* aja dulu. Kalau fitur ganti no hp sdh tersedia baru aku kasih 5. Fitur itu sdh lama banget loh ada di livin mandiri. Kenyaman benar2 dalam genggaman. Mandiri semakin jauh meninggalkan bni. Mandiri sdh sampai planet uranus. Bni masih dibumi,1,2024-03-20 12:48:29,BNI,2024-03,Aku kasih 1* aja dulu. Kalau fitur ganti no hp sdh tersedia baru aku kasih 5. Fitur itu sdh lama banget loh ada di livin mandiri. Kenyaman benar2 dalam genggaman. Mandiri semakin jauh meninggalkan bni. Mandiri sdh sampai planet uranus. Bni masih dibumi,negative
Good,5,2024-03-20 07:31:06,BNI,2024-03,Good,positive
"Kurang tegas hukuman utk individu pemilik rek kejahatan online, seharusnya korban diberikan kompensasi",1,2024-03-20 06:16:18,BNI,2024-03,"Kurang tegas hukuman utk individu pemilik rek kejahatan online, seharusnya korban diberikan kompensasi",negative
"Saya gagal terus mau isi DANA
Tolong segera perbaiki",2,2024-03-19 11:36:06,BNI,2024-03,Saya gagal terus mau isi DANA Tolong segera perbaiki,negative
"Kenapa jadi ga bisa transfer di hp iPhone 6 saya,padahal urgent bgt.Klo kaya gini jd nyusahin bgt,tolong di perbaiki min..",2,2024-03-19 04:04:39,BNI,2024-03,"Kenapa jadi ga bisa transfer di hp iPhone 6 saya,padahal urgent bgt.Klo kaya gini jd nyusahin bgt,tolong di perbaiki min..",negative
App sampah di update gak bisa qris,1,2024-03-18 14:48:24,BNI,2024-03,App sampah di update gak bisa qris,negative
Mohon iOS 12.5 bisa SUPPORT lagi. Saya jadi ga bisa pakai apk ini. Harus beli HP baru. Menurut saya apk ini untuk kalangan bawah yang HP nya jadul tidak terfasilitasi.,1,2024-03-18 01:48:55,BNI,2024-03,Mohon iOS 12.5 bisa SUPPORT lagi. Saya jadi ga bisa pakai apk ini. Harus beli HP baru. Menurut saya apk ini untuk kalangan bawah yang HP nya jadul tidak terfasilitasi.,negative
semenjak ios 17.4 mbanking bni gabisa pakai scan qris dari galeri. kacau sekali,1,2024-03-17 17:38:41,BNI,2024-03,semenjak ios 17.4 mbanking bni gabisa pakai scan qris dari galeri. kacau sekali,negative
